,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CUW,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,RKS,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SRB,SGP,SVK,SVN,ZAF,SSD,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,ktperdayNMVOC,KtperdayNMVOC,KtperdayNMVOC
2,Base_em,0.08319047201366377,1.954738718777342,2.6957413863779744,2.720933462616357,0.0892742555596789,2.584114904796164,0.38364112969661757,0.4879456365019679,0.12326514818046302,2.755287265734104,0.6361905867483014,0.5735571849015315,0.71583880702197,0.5374416301564137,0.23245833594351673,0.17074115044883836,14.52112565051871,0.13605057759957262,0.46772003630306846,1.1360818723888226,0.89059331623674,3.7654568565063706,1.1139850379519585,84.56968711889546,2.4647787111135893,0.4621566982903041,0.31748828617520547,1.8037371207079584,0.18101385302356146,0.4536905692826163,,0.02964168822061837,0.4802944943778439,0.7182971930187398,4.379361607621148,0.29224151212779476,0.480014164062485,1.0695775952566253,2.0652994425251783,0.26628784241709585,0.16040333777861918,0.26710325375332905,7.6626226050980835,0.41545237356810244,2.4202257718163556,0.434055180220831,0.16602394827972053,3.9277170843341227,1.366626142191151,0.0012372288929863014,0.36105019839321945,1.006936652984959,1.0500265164253961,0.7241998246031344,0.2552992500181725,0.41883090799047035,0.008074856952060274,36.863268527238276,15.382462936242495,9.335290293880794,3.003308914430274,0.21101917868515724,0.3606391726439096,2.424809986953107,0.3814077126387946,5.208784771338885,0.27166225852249315,1.6101824777367995,3.5419141962699454,2.349034588316205,,1.3570169302500823,0.38562948970820193,0.12669771493094412,0.28437470538665754,1.3087490239924928,0.2433485033452406,0.02293215289976799,2.9760834421226163,0.011202441383861351,0.049375553221832874,6.915084592489589,0.1319918017086274,0.30798852951621913,,0.5432925597564274,1.4249090313714523,2.1168567307138138,0.14301672480553426,1.1185726101383422,0.8416950657642303,0.30123083303081094,0.3843990193300822,0.45544230003717906,14.82848959698373,0.06244171845586927,0.62308005307883,0.7631655609093414,5.679757628196165,0.30224302110002466,0.5787095418603342,1.0837766201916161,3.4141187792142196,2.61324097851554,0.331566100298877,1.2815987072342976,0.5741290813886273,12.224421266344327,4.969623245642273,0.542620622394926,,0.3240458663542191,0.20157033954636713,0.11100344117752604,5.048047571610363,,1.5835993587187014,0.7782598262429753,2.215190498534384,0.03540475520426156,0.49706343488197124,0.3726230110392357,0.3431242609209816,1.5180734304001762,0.16943080708605418,3.134610358917995,6.11477778457704,0.619221321245107,0.2159307912979644,0.46539592776075456,2.297281318804801,0.3675418774542795,1.9542624786725393,2.6481497130064984,1.9207243120919006,30.060739756359677,0.2925363664710422,0.6225108451267917,4.571870753119835,4.501142349017808,0.3383591824019096,1.352118236288,0.8261199936748109,0.21949128613196722,13.585811092655494
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016822630136986296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026756470770083075,-0.025661088701975723
6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016822630136986296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026756470770083075,-0.025661088701975723
7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016822630136986296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026756470770083075,-0.025661088701975723
8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016822630136986296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026756470770083075,-0.025661088701975723
9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016822630136986296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026756470770083075,-0.025661088701975723
